,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
306,XRPUSDT,-0.00950000,-1.925,0.48983049,0.49350000,0.48400000,8425.00000000,0.48390000,1413.00000000,0.48400000,211700.00000000,0.49350000,0.50000000,0.48130000,235411429.00000000,115311694.52230000,1696952422353,1697038822353,556499636,556614966,115331
307,BCNBTC,0.00000000,0.000,0.00000000,0.00000022,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
308,BCNETH,0.00000000,0.000,0.00000000,0.00000707,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
309,BCNBNB,0.00000000,0.000,0.00000000,0.00002000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
310,REPBTC,0.00000000,0.000,0.00000000,0.00034130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
311,REPBNB,0.00000000,0.000,0.00000000,0.44670000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
312,BTCTUSD,-561.75000000,-2.049,27174.85702645,27415.09000000,26854.24000000,0.00020000,26854.25000000,0.09725000,26854.26000000,0.96983000,27415.99000000,27511.89000000,26760.65000000,3494.85440000,94972168.64826110,1696952422959,1697038822959,372841822,372953519,111698
313,TUSDBTC,0.00000000,0.000,0.00000000,0.00025971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
314,ETHTUSD,-7.02000000,-0.448,1564.06704588,1567.74000000,1560.86000000,2.56270000,1560.57000000,3.20450000,1560.85000000,0.07140000,1567.88000000,1578.28000000,1544.55000000,9948.98280000,15560876.13749600,1696952423434,1697038823434,8323811,8341567,17757
315,TUSDETH,0.00000000,0.000,0.00000000,0.00762097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
316,TUSDBNB,0.00000000,0.000,0.00000000,0.06777000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
317,ZENBTC,-0.00000060,-0.219,0.00026966,0.00027420,0.00027320,1.00000000,0.00027310,27.04000000,0.00027320,0.36000000,0.00027380,0.00027500,0.00026350,3165.53000000,0.85362489,1696952346420,1697038746420,10906670,10907740,1071
318,ZENETH,-0.00008900,-1.859,0.00471531,0.00479300,0.00469900,0.09000000,0.00469500,52.09000000,0.00470400,1.57000000,0.00478800,0.00480800,0.00463700,478.13000000,2.25453207,1696952418868,1697038818868,1877424,1877884,461
319,ZENBNB,0.00000000,0.000,0.00000000,0.03290000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
320,SKYBTC,0.00000000,0.000,0.00000000,0.00000829,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
321,SKYETH,0.00000000,0.000,0.00000000,0.00222000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
322,SKYBNB,0.00000000,0.000,0.00000000,0.03022000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
323,EOSUSDT,-0.00300000,-0.558,0.53677960,0.53800000,0.53500000,133.10000000,0.53400000,72691.70000000,0.53500000,114785.10000000,0.53800000,0.54500000,0.52900000,5281292.40000000,2834890.02340000,1696952420908,1697038820908,225357390,225364130,6741
324,EOSBNB,-0.00000900,-0.346,0.00260121,0.00259600,0.00259500,385.30000000,0.00259800,187.50000000,0.00261900,1509.80000000,0.00260400,0.00262800,0.00257800,3780.40000000,9.83360160,1696952421514,1697038821514,6552547,6552585,39
325,CVCBTC,0.00000000,0.000,0.00000000,0.00000566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
326,CVCETH,0.00000000,0.000,0.00000000,0.00009930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
327,CVCBNB,0.00000000,0.000,0.00000000,0.00211200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
328,THETABTC,0.00000020,0.926,0.00002167,0.00002162,0.00002180,30.90000000,0.00002178,212.40000000,0.00002180,18.70000000,0.00002160,0.00002181,0.00002147,112244.40000000,2.43234445,1696952423654,1697038823654,35261623,35262665,1043
329,THETAETH,-0.00000370,-0.979,0.00037783,0.00037810,0.00037440,50.00000000,0.00037450,1375.80000000,0.00037680,503.40000000,0.00037810,0.00038040,0.00037420,6876.40000000,2.59814208,1696952415568,1697038815568,6605426,6605475,50
330,THETABNB,-0.00001200,-0.419,0.00285017,0.00282400,0.00285100,29.50000000,0.00284400,342.50000000,0.00286600,73.50000000,0.00286300,0.00286300,0.00283700,393.00000000,1.12011650,1696952423453,1697038823453,3563578,3563593,16
331,XRPBNB,-0.00002800,-1.175,0.00237411,0.00238300,0.00235500,519.00000000,0.00235500,470.00000000,0.00235700,3111.00000000,0.00238300,0.00240000,0.00233900,372939.00000000,885.39858900,1696952421099,1697038821099,16400558,16402791,2234
332,TUSDUSDT,0.00010000,0.010,0.99994074,0.99980000,0.99990000,6.00000000,0.99980000,7740022.00000000,0.99990000,3503646.00000000,0.99980000,1.00030000,0.99970000,114738510.00000000,114731710.13250000,1696952421860,1697038821860,37507174,37552665,45492
333,IOTAUSDT,-0.00800000,-5.427,0.14277549,0.14730000,0.13940000,3560.00000000,0.13930000,296.00000000,0.13940000,14762.00000000,0.14740000,0.14780000,0.13820000,7424364.00000000,1060017.22050000,1696952422185,1697038822185,72280328,72288183,7856
334,XLMUSDT,-0.00180000,-1.724,0.10365465,0.10430000,0.10260000,1130.00000000,0.10250000,8162.00000000,0.10260000,293338.00000000,0.10440000,0.10500000,0.10200000,29109457.00000000,3017330.55460000,1696952422564,1697038822564,142634880,142648484,13605
335,IOTXBTC,0.00000001,1.562,0.00000065,0.00000063,0.00000065,192163.00000000,0.00000065,1410960.00000000,0.00000066,1320929.00000000,0.00000064,0.00000067,0.00000062,4077265.00000000,2.63663721,1696952385512,1697038785512,12735363,12735939,577
336,IOTXETH,0.00000014,1.254,0.00001128,0.00001119,0.00001130,220.00000000,0.00001129,97133.00000000,0.00001133,64841.00000000,0.00001116,0.00001149,0.00001097,1436170.00000000,16.19335493,1696952417698,1697038817698,4613133,4613402,270
337,QKCBTC,-0.00000001,-3.448,0.00000028,0.00000028,0.00000028,35714.00000000,0.00000028,1389758.00000000,0.00000029,1466374.00000000,0.00000029,0.00000029,0.00000027,5347353.00000000,1.49732574,1696952407737,1697038807737,13927029,13927439,411
338,QKCETH,-0.00000007,-1.420,0.00000492,0.00000491,0.00000486,46963.00000000,0.00000486,13203.00000000,0.00000488,15324.00000000,0.00000493,0.00000499,0.00000481,1390832.00000000,6.83687401,1696952403716,1697038803716,3630006,3630115,110
339,AGIBTC,0.00000000,0.000,0.00000000,0.00000668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
340,AGIETH,0.00000000,0.000,0.00000000,0.00007363,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
341,AGIBNB,0.00000000,0.000,0.00000000,0.00077200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
342,NXSBTC,0.00000000,0.000,0.00000000,0.00000284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
343,NXSETH,0.00000000,0.000,0.00000000,0.00077300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
344,NXSBNB,0.00000000,0.000,0.00000000,0.01087000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
345,ENJBNB,0.00000000,0.000,0.00000000,0.00136800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
346,DATABTC,-0.00000001,-1.149,0.00000086,0.00000088,0.00000086,15807.00000000,0.00000085,215950.00000000,0.00000086,44286.00000000,0.00000087,0.00000088,0.00000084,3032976.00000000,2.59657977,1696952417025,1697038817025,13959443,13960052,610
347,DATAETH,0.00000000,0.000,0.00000000,0.00002034,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
348,ONTUSDT,-0.00350000,-2.151,0.16156246,0.16270000,0.15920000,2674.00000000,0.15910000,6569.00000000,0.15930000,11333.00000000,0.16270000,0.16360000,0.15840000,3514584.00000000,567824.83120000,1696952419245,1697038819245,90913503,90917762,4260
349,TRXBNB,0.00000310,0.744,0.00041717,0.00041620,0.00041960,3377.00000000,0.00041950,2304.00000000,0.00041980,8797.00000000,0.00041650,0.00042060,0.00041310,6641772.00000000,2770.76565830,1696952419238,1697038819238,18100055,18103170,3116
350,TRXUSDT,0.00005000,0.058,0.08618199,0.08615000,0.08621000,1442.30000000,0.08620000,38181.50000000,0.08621000,38860.80000000,0.08616000,0.08667000,0.08547000,222886748.70000000,19208822.52017500,1696952423049,1697038823049,253526679,253606867,80189
351,ETCUSDT,-0.21000000,-1.403,14.84924745,14.97000000,14.76000000,615.54000000,14.76000000,3.82000000,14.77000000,1289.28000000,14.97000000,15.02000000,14.58000000,204646.06000000,3038839.98470000,1696952423571,1697038823571,183204855,183216727,11873
352,ETCBNB,-0.00050000,-0.693,0.07184790,0.07240000,0.07170000,1.30000000,0.07170000,61.48000000,0.07200000,58.77000000,0.07220000,0.07240000,0.07140000,267.97000000,19.25308100,1696952419174,1697038819174,2700986,2701116,131
353,ICXUSDT,-0.00530000,-3.185,0.16497837,0.16640000,0.16110000,795.70000000,0.16110000,714.10000000,0.16120000,6010.30000000,0.16640000,0.16850000,0.15990000,3116952.50000000,514229.73695000,1696952422360,1697038822360,46629887,46635750,5864
354,SCBTC,0.00000000,0.000,0.00000000,0.00000017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
355,SCETH,-0.00000003,-1.622,0.00000185,0.00000184,0.00000182,749.00000000,0.00000181,157719.00000000,0.00000182,3350.00000000,0.00000185,0.00000189,0.00000181,2443201.00000000,4.52472931,1696952224694,1697038624694,3254397,3254526,130
356,NPXSBTC,0.00000000,0.000,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
357,NPXSETH,0.00000000,0.000,0.00000000,0.00000345,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
358,VENUSDT,0.00000000,0.000,0.00000000,0.00010000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
359,KEYBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
360,KEYETH,0.00000000,0.000,0.00000000,0.00000227,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
361,NASBTC,0.00000000,0.000,0.00000000,0.00000228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
362,NASETH,0.00000000,0.000,0.00000000,0.00004047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
